id,text,question,answers
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5699/5728ec6a4b864d19001650ac,"When the Committee for Non-Violent Action sponsored a protest in August 1957, at the Camp Mercury nuclear test site near Las Vegas, Nevada, 13 of the protesters attempted to enter the test site knowing that they faced arrest. At a pre-arranged announced time, one at a time they stepped across the ""line"" and were immediately arrested. They were put on a bus and taken to the Nye County seat of Tonopah, Nevada, and arraigned for trial before the local Justice of the Peace, that afternoon. A well known civil rights attorney, Francis Heisler, had volunteered to defend the arrested persons, advising them to plead ""nolo contendere"", as an alternative to pleading either guilty or not-guilty. The arrested persons were found ""guilty,"" nevertheless, and given suspended sentences, conditional on their not reentering the test site grounds.[citation needed]",What was the result of the disobedience protesting the nuclear site?,"[{'text': 'arrest', 'start': 218, 'end': 224}, {'text': 'one at a time they stepped across the ""line"" and were immediately arrested', 'start': 260, 'end': 334}, {'text': 'put on a bus and taken to the Nye County seat of Tonopah, Nevada, and arraigned for trial before the local Justice of the Peace', 'start': 346, 'end': 473}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/1004/5abbd85a5542993f40c73be1,"Pirate decryption most often refers to the decryption, or decoding, of pay TV or pay radio signals without permission from the original broadcaster. The term ""pirate"" in this case is used in the sense of copyright infringement and has little or nothing to do with sea piracy, nor with pirate radio, which involved the operation of a small broadcast radio station without lawfully obtaining a license to transmit. The MPAA and other groups which lobby in favour of intellectual property (specifically copyright and trademark) regulations have labelled such decryption as ""signal theft"" even though there is no direct tangible loss on the part of the original broadcaster, arguing that losing out on a potential chance to profit from a consumer's subscription fees counts as a loss of actual profit.

Ross William Ulbricht (born March 27, 1984) is a former darknet market operator, best known for being convicted of creating and running the Silk Road website until his arrest. He was known under the pseudonym ""Dread Pirate Roberts"".

Christopher ""Chris"" Tarbell is a former FBI special agent who infiltrated both Anonymous and the Silk Road. He was involved in the tracking and arrest of both Sabu (of Anonymous) and Dread Pirate Roberts of Silk Road (Ross Ulbricht). He turned Sabu into an informant against the hacker group Lulzsec. He later led the team that led to the arrest of Ross Ulbricht in the Glen Park Public Library.",Who was involved in the arrest of Dread Pirate Roberts?,"[{'text': 'Christopher ""Chris"" Tarbell', 'start': 1033, 'end': 1060}]"
isaacus--legalqaeval/google--natural-questions/nq.test/2246/-5772259105199793397,"The Patient Self-Determination Act (PSDA) was passed by the United States Congress in 1990 as an amendment to the Omnibus Budget Reconciliation Act of 1990. Effective on December 1, 1991, this legislation required many hospitals, nursing homes, home health agencies, hospice providers, health maintenance organizations (HMOs), and other health care institutions to provide information about advance health care directives to adult patients upon their admission to the healthcare facility. This law does not apply to individual physicians.",the patient self-determination act (psda) mandates that,"[{'text': 'required many hospitals, nursing homes, home health agencies, hospice providers, health maintenance organizations (HMOs), and other health care institutions to provide information about advance health care directives to adult patients upon their admission to the healthcare facility', 'start': 205, 'end': 487}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/3050/57264e455951b619008f6f68,"Commissioners have various privileges, such as being exempt from member state taxes (but not EU taxes), and having immunity from prosecution for doing official acts. Commissioners have sometimes been found to have abused their offices, particularly since the Santer Commission was censured by Parliament in 1999, and it eventually resigned due to corruption allegations. This resulted in one main case, Commission v Edith Cresson where the European Court of Justice held that a Commissioner giving her dentist a job, for which he was clearly unqualified, did in fact not break any law. By contrast to the ECJ's relaxed approach, a Committee of Independent Experts found that a culture had developed where few Commissioners had 'even the slightest sense of responsibility'. This led to the creation of the European Anti-fraud Office. In 2012 it investigated the Maltese Commissioner for Health, John Dalli, who quickly resigned after allegations that he received a €60m bribe in connection with a Tobacco Products Directive. Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro. It has a six-person board appointed by the European Council, on the Council's recommendation. The President of the Council and a Commissioner can sit in on ECB meetings, but do not have voting rights.",Who appoints the board of the European Central Bank?,"[{'text': 'the European Council', 'start': 1216, 'end': 1236}]"
isaacus--legalqaeval/google--natural-questions/nq.test/399/2494243668474038245,"Eighth Amendment (Amendment VIII) of the United States Constitution prohibits the federal government from imposing excessive bail, excessive fines, or cruel and unusual punishment. The U.S. Supreme Court has ruled that this amendment's Cruel and Unusual Punishment Clause also applies to the states. The phrases in this amendment originated in the English Bill of Rights of 1689. This amendment was adopted on December 15, 1791, along with the rest of the United States Bill of Rights.",how does the eighth amendment protect people found guilty of crimes,"[{'text': 'prohibits the federal government from imposing excessive bail, excessive fines, or cruel and unusual punishment', 'start': 68, 'end': 179}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/2244/5adce4f65542992c1e3a2474,"The Centers for Medicare & Medicaid Services (CMS), previously known as the Health Care Financing Administration (HCFA), is a federal agency within the United States Department of Health and Human Services (HHS) that administers the Medicare program and works in partnership with state governments to administer Medicaid, the State Children's Health Insurance Program (SCHIP), and health insurance portability standards. In addition to these programs, CMS has other responsibilities, including the administrative simplification standards from the Health Insurance Portability and Accountability Act of 1996 (HIPAA), quality standards in long-term care facilities (more commonly referred to as nursing homes) through its survey and certification process, clinical laboratory quality standards under the Clinical Laboratory Improvement Amendments, and oversight of HealthCare.gov.

ANSI 834 EDI Enrollment Implementation Format is a standard format for electronically exchanging health plan enrollment data between employers and health insurance carriers. An 834 file contains a string of data elements and each data element represents a fact, such as a subscriber's name, hire date, etc. The entire string is called a data segment. The Health Insurance Portability and Accountability Act (HIPAA) requires that all health plans or health insurance carriers accept a standard enrollment format, ANSI 834A Version 5010. The ANSI 834A is the national standard for electronic enrollment and maintenance health plan.

The Arizona Health Care Cost Containment System (AHCCCS) is the name of the Medicaid program in the state of Arizona. As with all Medicaid programs, it is a joint program between the state and the Centers for Medicare and Medicaid Services (CMS). It became the final such state Medicaid program to implemented under Title XIX (as all other states had previously created their own programs) when it began in October 1982 as a section 1115 demonstration project. The program acronym AHCCCS is frequently pronounced like the word ""access.""",What program responsible for the Health Insurance Portability and Accountability Act works with AHCCS?,"[{'text': 'Centers for Medicare and Medicaid Services', 'start': 1708, 'end': 1750}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/17797/1012722/7,"Matt Lauer has been accused of being inappropriate before. The ousted ""Today"" show anchor, who was fired for ""inappropriate sexual behavior, was accused 11 years ago of ""cruel and inhumane"" acts by his wife. Annette Roque, 50, who wed the Peacock poster boy in 1998, reportedly filed for divorce from her husband in September 2006 before withdrawing the documents, according to paperwork first obtained by the National Enquirer.",what was matt lauer accused of,"[{'text': 'Matt Lauer has been accused of being inappropriate before.', 'start': 0, 'end': 58}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/42748/739599/4,"Dealing with Divorce. The dissolution of a marriage is a legal act that may not always coincide with a couple's emotional tearing asunder. Divorce is typically a painful process for all concerned. While it can take adults time to regain psychological equilibrium, whether or not children ever recover a stable perspective continues to be debated.",what is different of said done or divorce,"[{'text': 'Divorce is typically a painful process for all concerned.', 'start': 139, 'end': 196}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/3048/57264e455951b619008f6f66,"Commissioners have various privileges, such as being exempt from member state taxes (but not EU taxes), and having immunity from prosecution for doing official acts. Commissioners have sometimes been found to have abused their offices, particularly since the Santer Commission was censured by Parliament in 1999, and it eventually resigned due to corruption allegations. This resulted in one main case, Commission v Edith Cresson where the European Court of Justice held that a Commissioner giving her dentist a job, for which he was clearly unqualified, did in fact not break any law. By contrast to the ECJ's relaxed approach, a Committee of Independent Experts found that a culture had developed where few Commissioners had 'even the slightest sense of responsibility'. This led to the creation of the European Anti-fraud Office. In 2012 it investigated the Maltese Commissioner for Health, John Dalli, who quickly resigned after allegations that he received a €60m bribe in connection with a Tobacco Products Directive. Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro. It has a six-person board appointed by the European Council, on the Council's recommendation. The President of the Council and a Commissioner can sit in on ECB meetings, but do not have voting rights.",Did the European Court of Justice rule the defendant in the case of Commission v. Edith Cresson broke any laws?,"[{'text': 'did in fact not break any law', 'start': 555, 'end': 584}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/99366/186265/3,"Florida law separates the crime of battery into two categories. Simple battery is typically charged as a misdemeanor, but can be charged as a felony under certain circumstances. Aggravated battery is always charged as a felony.",felony aggravated battery definition,"[{'text': 'Aggravated battery is always charged as a felony.', 'start': 178, 'end': 227}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/12387/1047616/1,"The most serious misdemeanor classification, Class A misdemeanors, or Class 1 misdemeanors, often result in up to 12 months imprisonment in the local jail, and may include the addition of a hefty fine. 1  Sentences for Class A misdemeanors are very similar to lesser felonies.",what is punishment of class a misdemeanor,"[{'text': 'Class A misdemeanors, or Class 1 misdemeanors, often result in up to 12 months imprisonment in the local jail, and may include the addition of a hefty fine.', 'start': 45, 'end': 201}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/64589/637846/9,A delinquent is one who fails to do that which is required by law or by duty when such failure is minor in nature. The term is often used to refer to a juvenile who commits a minor criminal act—juvenile delinquents.,what does found delinquent mean,"[{'text': 'A delinquent is one who fails to do that which is required by law or by duty when such failure is minor in nature.', 'start': 0, 'end': 114}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/83148/888141/8,"by findingDulcinea Staff. On Sept. 8, 1974, President Ford granted former President Nixon ""a full, free and absolute pardon … for all offenses against the United States"" committed during the period of his presidency, freeing him from the possibility of indictment or prosecution for his role in the Watergate scandal. Nixon Pardoned.",what president became unpopular when he granted former president nixon a full pardon?,"[{'text': 'Ford', 'start': 54, 'end': 58}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/38546/632825/7,"Bail Bond. DEFINITION of 'Bail Bond'. A written promise signed by a defendant and surety to ensure that a criminal defendant will appear in court at the scheduled time and date, as ordered by the court. The bail amount is set by the court.",what does bail type cash or bond mean,"[{'text': 'A written promise signed by a defendant and surety to ensure that a criminal defendant will appear in court at the scheduled time and date, as ordered by the court.', 'start': 38, 'end': 202}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/75721/117657/9,"The plaintiff begins another proceeding for a writ of attachment so that the judgment will be satisfied by the sale of the defendant's property seized under the writ. The attachment proceeding is ancillary, or subordinate, to the negligence suit. An ancillary proceeding is sometimes called an ancillary suit or bill. A claim for Alimony is an ancillary claim dependent upon the primary claim that there are sufficient legal grounds for a court to grant a Divorce.",define ancillary proceeding,"[{'text': 'The attachment proceeding is ancillary, or subordinate, to the negligence suit.', 'start': 167, 'end': 246}]"
isaacus--legalqaeval/google--natural-questions/nq.test/6310/-4018525468901338278,"The Guano Islands Act (11 Stat. 119, enacted August 18, 1856, codified at 48 U.S.C. ch. 8 §§ 1411-1419) is a United States federal law passed by the U.S. Congress that enables citizens of the United States to take possession of unclaimed islands containing guano deposits. The islands can be located anywhere, so long as they are not occupied and not within the jurisdiction of another government. It also empowers the President of the United States to use the military to protect such interests and establishes the criminal jurisdiction of the United States in these territories.",what did the guano islands act allow the us to do,"[{'text': 'enables citizens of the United States to take possession of unclaimed islands containing guano deposits', 'start': 168, 'end': 271}]"
isaacus--legalqaeval/google--natural-questions/nq.test/3378/-2320360237218325930,"The Prisoners (Temporary Discharge for Ill Health) Act, commonly referred to as the Cat and Mouse Act, was an Act of Parliament passed in Britain under Herbert Henry Asquith's Liberal government in 1913. Some members of the Women's Social and Political Union (WSPU, commonly referred to as suffragettes) had been imprisoned for acts of vandalism in support of women's suffrage. In protest to being imprisoned some of these suffragettes undertook hunger strikes. These suffragettes were then force-fed leading to a public outcry. This act was a response to the outcry; it allowed the prisoners to be released on licence as soon as the hunger strike affected their health. They then had a period of time in which they could recover. After a predetermined period of time the prisoner would be rearrested to serve out the rest of their sentence. Conditions could be placed on the prisoner during the time of their release. The hunger strikes themselves were now technically legal. However, the Act allowed for the re-imprisonment of the hunger strikers upon their recovery on their original charges. The nickname of the Act came about because of a cat's habit of playing with its prey (a mouse) before finishing it off.",when was the cat and mouse act introduced,"[{'text': '1913', 'start': 198, 'end': 202}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5746/5728fb6a1d04691400778ef5,"One theory is that, while disobedience may be helpful, any great amount of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit. Therefore, conscientious lawbreakers must be punished. Michael Bayles argues that if a person violates a law in order to create a test case as to the constitutionality of a law, and then wins his case, then that act did not constitute civil disobedience. It has also been argued that breaking the law for self-gratification, as in the case of a homosexual or cannabis user who does not direct his act at securing the repeal of amendment of the law, is not civil disobedience. Likewise, a protestor who attempts to escape punishment by committing the crime covertly and avoiding attribution, or by denying having committed the crime, or by fleeing the jurisdiction, is generally viewed as not being a civil disobedient.",What needs to be avoided with civil disobedience?,"[{'text': 'great amount of it', 'start': 59, 'end': 77}, {'text': 'undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit', 'start': 84, 'end': 190}, {'text': 'conscientious lawbreakers', 'start': 203, 'end': 228}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/3530/5a8b027e55429950cd6afc45,"""Only a Pawn in Their Game"" is a song written by Bob Dylan about the assassination of civil rights activist Medgar Evers. Showing support for the African Americans during the American Civil Rights Movement. It was released on Dylan's ""The Times They Are a-Changin'"" album of 1964. The song suggests that Evers' killer, Byron De La Beckwith does not bear sole blame for his crime, as he was only a pawn of rich white elites who incensed poor whites against blacks so as to distract them from their position on ""the caboose of the train"" in order create a more 'perfect white American society'.

Vasquez v. Hillery, 474 U.S. 254 (1986) is a United States Supreme Court case. An African-American man named Booker T. Hillery was convicted for murder by a California grand jury in 1962. Hillery was accused of stabbing fifteen-year-old girl named Marlene Miller with scissors in the small town of Hanford. Miller was said to be sewing a dress alone in the house and did not notice an intruder sneaking into the household. The perpetrator fought with the young woman and hogtied her and stabbed her chest. Deputies came on to the crime scene; with evidence and a witness, all fingers pointed to Booker T. Hillery, who was on parole for rape at the time. Hillery pleaded he was innocent, but he was indicted by a California grand jury and subsequently convicted. However, members of his own race were systematically excluded from the indicting grand jury, suggesting that the defendant was singled out for murder due to his criminal past and race. This caused Booker T. Hillery to seek petitions for a retrial.

Byron De La Beckwith, Sr. (November 9, 1920 – January 21, 2001) was an American white supremacist and Klansman from Greenwood, Mississippi, who in 1994 was convicted of assassinating civil rights leader Medgar Wiley Evers on June 12, 1963. Two previous trials in 1964 on this charge had resulted in hung juries. Seven years after being convicted of killing Evers, De La Beckwith died in prison in 2001 at the age of 80 while serving a life sentence.","The song ""Only a Pawn in Their Game"" was based on a crime whose perpetrator was convicted in this year.","[{'text': '1994', 'start': 1752, 'end': 1756}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/6557/5a7299465542992359bc3131,"FIAT Chrysler Automobiles Serbia (Serbian: ""FIAT Krajsler Automobili Srbija"" ) is an automobile assembly plant in Kragujevac, Serbia and a subsidiary of Fiat Chrysler Automobiles — previously the headquarters and assembly plant of Zastava Automobiles.

Luca Cordero di Montezemolo (] ; born 31 August 1947) is an Italian businessman, former Chairman of Ferrari, and formerly Chairman of Fiat S.p.A. and President of Confindustria and FIEG. He comes from an aristocratic family from the region of Piedmont in Italy. He graduated with a degree in law from La Sapienza University in 1971. Afterward, he studied for a masters degree in international commercial law at Columbia University. He is one of the founders and former president of NTV, an Italian company which is Europe's first private open access operator of 300 km/h (186 mph) high-speed trains.

Fiat S.p.A., or ""Fabbrica Italiana Automobili Torino"" (Italian Automobile Factory of Turin), was an Italian holding company whose original and core activities were in the automotive industry, and that was succeeded by Fiat Chrysler Automobiles NV (FCA). The Fiat Group contained many brands such as Ferrari, Maserati, Fiat, Alfa Romeo, the Chrysler Group, and many more. On 29 January 2014, it was announced that Fiat S.p.A. (the former owner of Fiat Group) was to be merged into a new Netherlands-based holding company Fiat Chrysler Automobiles NV (FCA), took place before the end of 2014. Fiat Chrysler Automobiles became the new owner of Fiat Group. On 1 August 2014, Fiat S.p.A. received necessary shareholder approval to proceed with the merger (which followed board approval). The merger became effective 12 October 2014.",What company was Luca Cordero di Montezemolo the chairman of that merged into a new Netherlands-based holding company Fiat Chrysler Automobiles NV?,"[{'text': 'Fabbrica Italiana Automobili Torino', 'start': 871, 'end': 906}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5568/572818f54b864d190016446f,"It is usually recognized that lawbreaking, if it is not done publicly, at least must be publicly announced in order to constitute civil disobedience. But Stephen Eilmann argues that if it is necessary to disobey rules that conflict with morality, we might ask why disobedience should take the form of public civil disobedience rather than simply covert lawbreaking. If a lawyer wishes to help a client overcome legal obstacles to securing her or his natural rights, he might, for instance, find that assisting in fabricating evidence or committing perjury is more effective than open disobedience. This assumes that common morality does not have a prohibition on deceit in such situations. The Fully Informed Jury Association's publication ""A Primer for Prospective Jurors"" notes, ""Think of the dilemma faced by German citizens when Hitler's secret police demanded to know if they were hiding a Jew in their house."" By this definition, civil disobedience could be traced back to the Book of Exodus, where Shiphrah and Puah refused a direct order of Pharaoh but misrepresented how they did it. (Exodus 1: 15-19)",Stephen Eildmann cites the oldest known example of civil disobedience in what part of the bible?,"[{'text': 'the Book of Exodus,', 'start': 979, 'end': 998}, {'text': 'Shiphrah and Puah refused a direct order of Pharaoh but misrepresented how they did it', 'start': 1005, 'end': 1091}, {'text': '(Exodus 1: 15-19)', 'start': 1093, 'end': 1110}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/3049/57264e455951b619008f6f67,"Commissioners have various privileges, such as being exempt from member state taxes (but not EU taxes), and having immunity from prosecution for doing official acts. Commissioners have sometimes been found to have abused their offices, particularly since the Santer Commission was censured by Parliament in 1999, and it eventually resigned due to corruption allegations. This resulted in one main case, Commission v Edith Cresson where the European Court of Justice held that a Commissioner giving her dentist a job, for which he was clearly unqualified, did in fact not break any law. By contrast to the ECJ's relaxed approach, a Committee of Independent Experts found that a culture had developed where few Commissioners had 'even the slightest sense of responsibility'. This led to the creation of the European Anti-fraud Office. In 2012 it investigated the Maltese Commissioner for Health, John Dalli, who quickly resigned after allegations that he received a €60m bribe in connection with a Tobacco Products Directive. Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro. It has a six-person board appointed by the European Council, on the Council's recommendation. The President of the Council and a Commissioner can sit in on ECB meetings, but do not have voting rights.",Who found that there was a developed culture of Commissioner's who lacked responsibility?,"[{'text': 'a Committee of Independent Experts', 'start': 629, 'end': 663}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/2084/5a734f4455429901807dafba,"Edith Louisa Cavell ( ; 4 December 1865 – 12 October 1915) was a British nurse. She is celebrated for saving the lives of soldiers from both sides without discrimination and in helping some 200 Allied soldiers escape from German-occupied Belgium during the First World War, for which she was arrested. She was accused of treason, found guilty by a court-martial and sentenced to death. Despite international pressure for mercy, she was shot by a German firing squad. Her execution received worldwide condemnation and extensive press coverage.

Traugott Martin von Sauberzweig (October 28, 1863 to April 14, 1920 in Kassel) was a Prussian ""Generalleutnant"" (Lieutenant General) who served on both the Eastern and Western Front in the German Army during World War I. In 1915 he had been Military Governor of Brussels in the days of Edith Cavell's execution, and in connection with this tragedy his name was prominently mentioned. The Cavell case was the reason that von Sauberzweig was supplanted. Among those who had to suffer under his following anger had been Herbert Hoover and his Commission for Relief in Belgium as von Sauberzweig was close to interrupt the services of this organisation. He served as chief of staff on the 8th Army in the Ukraine in 1916 and was awarded the ""Pour le Mérite"" on 6 September 1917.

Roberto Girón Mendoza and Pedro Castillo were two Guatemalan men convicted of murder and executed, with their deaths by firing squad occurring on 13 September 1996. It was the first official firing squad execution in Guatemala since 1983. It was also the first execution to occur in Latin America, with the exception of Guyana and the Caribbean, in a span of over ten years.",Who was the woman whose execution for treason by German firing squad was the reason for Prussian Generalleutnant (Lieutenant General) Traugott von Sauberzweig's replacement as Military Governor of Brussels in 1915?,"[{'text': 'Edith Louisa Cavell', 'start': 0, 'end': 19}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5729/5728f50baf94a219006a9e58,"Some civil disobedience defendants choose to make a defiant speech, or a speech explaining their actions, in allocution. In U.S. v. Burgos-Andujar, a defendant who was involved in a movement to stop military exercises by trespassing on U.S. Navy property argued to the court in allocution that ""the ones who are violating the greater law are the members of the Navy"". As a result, the judge increased her sentence from 40 to 60 days. This action was upheld because, according to the U.S. Court of Appeals for the First Circuit, her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions. Some of the other allocution speeches given by the protesters complained about mistreatment from government officials.",Why would one want to give more punishment?,"[{'text': 'a lack of remorse', 'start': 552, 'end': 569}, {'text': 'likelihood of repeating her illegal actions', 'start': 634, 'end': 677}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5757/5728fc9e1d04691400778f12,"Courts have distinguished between two types of civil disobedience: ""Indirect civil disobedience involves violating a law which is not, itself, the object of protest, whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law."" During the Vietnam War, courts typically refused to excuse the perpetrators of illegal protests from punishment on the basis of their challenging the legality of the Vietnam War; the courts ruled it was a political question. The necessity defense has sometimes been used as a shadow defense by civil disobedients to deny guilt without denouncing their politically motivated acts, and to present their political beliefs in the courtroom. However, court cases such as U.S. v. Schoon have greatly curtailed the availability of the political necessity defense. Likewise, when Carter Wentworth was charged for his role in the Clamshell Alliance's 1977 illegal occupation of the Seabrook Station Nuclear Power Plant, the judge instructed the jury to disregard his competing harms defense, and he was found guilty. Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to; according to FIJA, many of them have escaped prosecution because ""prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters, the leaflets will have to be given to the leafleter's own jury as evidence.""","When the law is a direct target of the protest, what is this called?","[{'text': 'direct civil disobedience', 'start': 174, 'end': 199}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/1613/5ae5eb0d554299546bf82fd2,"United States v. Hasan K. Akbar was the court-martial of a United States Army soldier for a premeditated attack in the early morning hours of March 23, 2003, at Camp Pennsylvania, Kuwait, during the start of the United States invasion of Iraq.

Brenda J. Hollis, a citizen of the United States, was appointed by United Nations Secretary-General Ban Ki-moon as Prosecutor of the Special Court for Sierra Leone on 16 February 2010, replacing Stephen Rapp. Hollis was the Chief Prosecutor at the Special Court and served as the lead prosecutor in the trial and appeal of the case against Charles Taylor, the former President of Liberia. Hollis currently serves as the Prosecutor of the Residual Special Court for Sierra Leone, which replaced the Special Court in December 2013. She also serves as the Reserve International Co-Prosecutor for the Extraordinary Chambers in the Courts of Cambodia, and works as a consultant in international criminal law and procedure.

Colonel Michael Mulligan is a prosecutor in the United States Army notable for serving as the lead prosecutor in the courts-martial of Hasan Akbar and of Nidal Malik Hasan, the sole accused in the November 2009 Fort Hood shooting.","Who was the lead prosecutor for the soilder court-martialed for the premeditated attack at Camp Pennsylvania, Kuwait?","[{'text': 'Colonel Michael Mulligan', 'start': 964, 'end': 988}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/54325/740339/9,"Diversion and Juvenile Probation Youth Offender Demonstration Grant Project Tip Sheet Tip Sheet 2 – June 3, 2003 WHAT THEY ARE: The term diversion refers to either the actions of police officers or juvenile courts in informally handling a juvenile's case prior to referral to court (police) or to the postponement of adjudication and referral of a juvenile to services (court). Law enforcement diversion is generally accomplished by ""warn or release"" or through a structured police diversion program. Once a youth reaches court, he or she can be diverted at intake, by either the prosecutor or the court itself. In many jurisdictions, a court will place a youth on informal probation under a court order, often referred to as a ""consent decree.""",what is diversion when ordered by the courts,"[{'text': ""The term diversion refers to either the actions of police officers or juvenile courts in informally handling a juvenile's case prior to referral to court (police) or to the postponement of adjudication and referral of a juvenile to services (court)."", 'start': 128, 'end': 377}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/883/273067/5,"Charles Manson has been in jail since 1968 so he has been in prison  for 45 years & he is 78 years old... (as of 2013, add on  however many years after 2013 it is).",how long was charles manson sentenced for,"[{'text': '45 years', 'start': 73, 'end': 81}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/3671/5adf5e285542992d7e9f9323,"The Ankaful Nurses Training College is public tertiary health institution in the Ankaful in the Central Region of Ghana. The college is in the Cape Coast Metropolitan Assembly. The school is located at the Ankaful Psychiatric Hospital. The activities of the institution is supervised by the Ministry of Education. A Diploma in Nursing certificate is awarded students from the institution upon successfully completing a three-year nursing training programme. The Nurses and Midwifery Council (NMC) is the regulates the activities, curriculum and examination of the student nurses and midwives. The Council's mandate Is enshrined under section 4(1) of N.R.C.D 117. The college specializes in the training of psychiatric nurses.

Louis B. Garippo (June 4, 1931 – May 31, 2016) was a former Cook County judge and supervisor in the state's attorney's office best known as the presiding judge over the trial of John Wayne Gacy. He also made notable contributions during the trial of Richard Speck and the controversy which surrounded Chief Illiniwek.

Richard Benjamin Speck (December 6, 1941 – December 5, 1991) was an American mass murderer who systematically tortured, raped, and murdered eight student nurses from South Chicago Community Hospital on the night of July 13-14, 1966.","When was the judge born who made notable contributions to the trial of the man who tortured, raped, and murdered eight student nurses from South Chicago Community Hospital on the night of July 13-14, 1966?","[{'text': 'June 4, 1931', 'start': 745, 'end': 757}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5748/5728fb6a1d04691400778ef7,"One theory is that, while disobedience may be helpful, any great amount of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit. Therefore, conscientious lawbreakers must be punished. Michael Bayles argues that if a person violates a law in order to create a test case as to the constitutionality of a law, and then wins his case, then that act did not constitute civil disobedience. It has also been argued that breaking the law for self-gratification, as in the case of a homosexual or cannabis user who does not direct his act at securing the repeal of amendment of the law, is not civil disobedience. Likewise, a protestor who attempts to escape punishment by committing the crime covertly and avoiding attribution, or by denying having committed the crime, or by fleeing the jurisdiction, is generally viewed as not being a civil disobedient.",What is one main reason that civil disobedience is not recognized?,"[{'text': 'it would undermine the law by encouraging general disobedience', 'start': 75, 'end': 137}, {'text': 'breaking the law for self-gratification', 'start': 476, 'end': 515}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/6278/1084462/1,"A: According to US Legal, an alias capias is a warrant issued by a court of law for the immediate arrest of an individual based on felony charges. This type of warrant is generally issued when the person in question fails to show up for a mandated court appearance.",what does a legal charge of capias mean,"[{'text': 'According to US Legal, an alias capias is a warrant issued by a court of law for the immediate arrest of an individual based on felony charges.', 'start': 3, 'end': 146}]"
